nom;group;mat_polok;h;n;s;p
Винный шкаф Maunfeld MFWC-201S84;Винные шкафы;Дерево;129;10;1;52830
Винный шкаф Meyvel MV46-KBT2;Винные шкафы;Дерево;84;5;1;60450
Винный шкаф Meyvel MV46PRO-KBT2;Винные шкафы;Дерево;82;6;1;74460
Винный шкаф Kitfort KT-2402;Винные шкафы;Металл;48;4;2;15280
Винный шкаф Kitfort KT-2408;Винные шкафы;Металл;47;4;2;13980
Винный шкаф Meyvel MV21-BF2 (easy);Винные шкафы;Металл;82;7;4;27330
Винный шкаф Meyvel MV27-CBD1;Винные шкафы;Металл;111;9;5;29490
Льдогенератор Kitfort KT-1806;Льдогенераторы;нет;33;0;6;11030
Льдогенератор Kitfort KT-1826;Льдогенераторы;нет;37;0;14;17130
Льдогенератор Kitfort KT-1807;Льдогенераторы;нет;33;0;61;13360
Шкаф холодильный (ларь) Саратов 602М;Медицинские шкафы;нет описания;81;0;1;47220
Шкаф холодильный фармацевтический Саратов 505ХФ-01;Медицинские шкафы;Закаленное стекло;88;2;1;22390
Камера холодильная медицинская Бирюса 150K-GB3G2B;Медицинские шкафы;Закаленное стекло;89;3;3;24710
Камера холодильная медицинская Бирюса 150S-G;Медицинские шкафы;Закаленное стекло;89;4;3;25110
Камера холодильная медицинская Бирюса 250K-GB5G1B;Медицинские шкафы;Закаленное стекло;146;5;3;29460
Камера холодильная медицинская Бирюса 250К-G;Медицинские шкафы;Закаленное стекло;146;6;16;29460
Морозильник ASKO FN31831I;Морозильники;Пластик;177;1;1;102680
Морозильник Liebherr IFNci 3553-22 001;Морозильники;нет описания;77;0;1;118600
Морозильник Maunfeld MBFR177NFW;Морозильники;нет описания;177;2;1;78840
Морозильник Atlant 7204-160 мокрый асфальт;Морозильники;нет описания;177;0;1;31390
Морозильник LG GC-B404FAQM;Морозильники;Закаленное стекло;186;3;1;90920
Морозильник LG GC-B404FEQM;Морозильники;Закаленное стекло;186;3;1;94100
Морозильник Бирюса М14;Морозильники;нет описания;85;0;1;18900
Морозильник Midea MDRE306FZF01;Морозильники;Закаленное стекло;179;3;3;55910
Морозильник Atlant 7184-060;Морозильники;нет описания;150;0;3;28530
Морозильник Atlant 7204-180 серебристый;Морозильники;нет описания;177;0;3;32150
Морозильник Beko B1RFNK312G;Морозильники;Закаленное стекло;185;2;3;37670
Морозильник Бирюса М6046;Морозильники;нет описания;145;0;3;30670
Морозильник Hansa UZ130.3;Морозильники;нет описания;83;0;4;31150
Морозильник Indesit DSZ 5175 G;Морозильники;Пластик;175;3;4;30040
Морозильник Бирюса 6048;Морозильники;нет описания;99;0;5;23470
Морозильник Бирюса М6046SN;Морозильники;нет описания;145;0;5;35230
Морозильник Maunfeld MBFR88SW;Морозильники;нет описания;88;0;6;36970
