nom;group;mat_polok;h;n;s;p
Холодильник Liebherr IRBci 5150-22 001;Холодильники;Закаленное стекло;177;8;1;196190
Холодильник Maunfeld MBL177SW;Холодильники;Закаленное стекло;177;6;1;72400
Холодильник Samsung BRB26705FWW;Холодильники;Закаленное стекло;178;3;1;84240
Холодильник Beko RCSK339M20S;Холодильники;Закаленное стекло;187;4;1;28090
Холодильник Bosch KGN 39XI326;Холодильники;Закаленное стекло;203;4;1;69650
Холодильник Don R-295BUK (Бук);Холодильники;Закаленное стекло;196;5;1;35770
Холодильник Don R-299S (Слоновая кость);Холодильники;Закаленное стекло;216;5;1;35360
Холодильник Don R-299ZF (Золотой цветок);Холодильники;Закаленное стекло;216;5;1;36380
Холодильник Gorenje NRM720FSXL4;Холодильники;Закаленное стекло;200;3;1;85790
Холодильник Hisense RB440N4BC1;Холодильники;Закаленное стекло;200;4;1;40710
Холодильник Hisense RQ515N4AD1;Холодильники;Закаленное стекло;182;3;1;61940
Холодильник LG GA-B509CCUM;Холодильники;Закаленное стекло;203;4;1;67680
Холодильник LG GA-B509CVQM;Холодильники;Закаленное стекло;203;4;1;60660
Холодильник LG GA-B509MESL;Холодильники;Закаленное стекло;203;5;1;60650
Холодильник LG GA-B509MLSL;Холодильники;Закаленное стекло;203;5;1;59850
Холодильник LG GA-B509SEKL;Холодильники;Закаленное стекло;203;5;1;60250
Холодильник LG GC-B401FEPM;Холодильники;Закаленное стекло;186;5;1;82240
Холодильник LG GW-B509SLNM;Холодильники;Закаленное стекло;203;4;1;68760
Холодильник Manya SBS181NGGZ1;Холодильники;Закаленное стекло;180;5;1;56630
Холодильник Midea MDRD142SLF30;Холодильники;Закаленное стекло;84;2;1;14350
Холодильник Samsung RB-33A32N0WW;Холодильники;Закаленное стекло;185;4;1;47200
Холодильник Samsung RB-37A5200SA;Холодильники;Закаленное стекло;201;3;1;56150
Холодильник Samsung RB-37A5200WW;Холодильники;Закаленное стекло;201;3;1;55460
Холодильник Tesler RC-55 Black;Холодильники;Закаленное стекло;49;1;1;9020
Холодильник Бирюса B6035;Холодильники;Закаленное стекло;165;4;1;29210
Холодильник Бирюса B6039;Холодильники;Закаленное стекло;180;4;1;31350
Холодильник Бирюса CD 466 I;Холодильники;Закаленное стекло;178;3;1;59600
Холодильник Бирюса SBS 400 DI;Холодильники;Закаленное стекло;171;5;1;47720
Холодильник Бирюса Т6049;Холодильники;Закаленное стекло;207;4;1;36500
Холодильник ОРСК-175 B;Холодильники;Закаленное стекло;190;5;1;25990
Холодильник Саратов 264 (КШД 150/30);Холодильники;Закаленное стекло;121;3;1;19250
Холодильник Саратов 549 (КШ-160 без НТО);Холодильники;нет описания;114;3;1;16960
Холодильник ASKO R31831I;Холодильники;Закаленное стекло;177;6;2;78680
Холодильник Samsung BRB26705EWW;Холодильники;Закаленное стекло;178;3;2;84240
Холодильник Atlant 2826-90;Холодильники;Закаленное стекло;167;5;2;27980
Холодильник Atlant 2835-08 серебристый;Холодильники;Закаленное стекло;163;4;2;25410
Холодильник Don R-297DUB (Дуб);Холодильники;Закаленное стекло;201;4;2;36830
Холодильник Don R-297Z (Золотой песок);Холодильники;Закаленное стекло;201;4;2;34530
Холодильник Indesit ITR 5180S;Холодильники;Закаленное стекло;185;4;2;33720
Холодильник Manya RT179NB;Холодильники;Закаленное стекло;186;4;2;51000
Холодильник Бирюса 6036;Холодильники;Закаленное стекло;145;3;2;22580
Холодильник Бирюса B920NF;Холодильники;Закаленное стекло;175;3;2;35400
Холодильник Бирюса G6027;Холодильники;Закаленное стекло;190;4;2;30970
